sheet_name,scenario_name,algorithm,worker,machine,cost
Varian 3x3,Random,Greedy,Pekerja_3,M3,11
Varian 3x3,Random,Greedy,Pekerja_1,M1,12
Varian 3x3,Random,Greedy,Pekerja_2,M2,23
Varian 3x3,Random,Branch and Bound,Pekerja_1,M1,12
Varian 3x3,Random,Branch and Bound,Pekerja_2,M2,23
Varian 3x3,Random,Branch and Bound,Pekerja_3,M3,11
Varian 3x3,Structured,Greedy,Pekerja_1,M1,1
Varian 3x3,Structured,Greedy,Pekerja_2,M2,2
Varian 3x3,Structured,Greedy,Pekerja_3,M3,3
Varian 3x3,Structured,Branch and Bound,Pekerja_1,M1,1
Varian 3x3,Structured,Branch and Bound,Pekerja_2,M2,2
Varian 3x3,Structured,Branch and Bound,Pekerja_3,M3,3
Varian 3x3,Greedy Trap,Greedy,Pekerja_3,M2,1
Varian 3x3,Greedy Trap,Greedy,Pekerja_2,M3,6
Varian 3x3,Greedy Trap,Greedy,Pekerja_1,M1,10
Varian 3x3,Greedy Trap,Branch and Bound,Pekerja_1,M2,2
Varian 3x3,Greedy Trap,Branch and Bound,Pekerja_2,M1,7
Varian 3x3,Greedy Trap,Branch and Bound,Pekerja_3,M3,4
Varian 5x5,Random,Greedy,Pekerja_3,M1,11
Varian 5x5,Random,Greedy,Pekerja_1,M4,12
Varian 5x5,Random,Greedy,Pekerja_4,M2,12
Varian 5x5,Random,Greedy,Pekerja_2,M3,23
Varian 5x5,Random,Greedy,Pekerja_5,M5,60
Varian 5x5,Random,Branch and Bound,Pekerja_1,M1,22
Varian 5x5,Random,Branch and Bound,Pekerja_2,M3,23
Varian 5x5,Random,Branch and Bound,Pekerja_3,M5,21
Varian 5x5,Random,Branch and Bound,Pekerja_4,M2,12
Varian 5x5,Random,Branch and Bound,Pekerja_5,M4,18
Varian 5x5,Structured,Greedy,Pekerja_1,M1,1
Varian 5x5,Structured,Greedy,Pekerja_2,M2,2
Varian 5x5,Structured,Greedy,Pekerja_3,M3,3
Varian 5x5,Structured,Greedy,Pekerja_4,M4,4
Varian 5x5,Structured,Greedy,Pekerja_5,M5,5
Varian 5x5,Structured,Branch and Bound,Pekerja_1,M1,1
Varian 5x5,Structured,Branch and Bound,Pekerja_2,M2,2
Varian 5x5,Structured,Branch and Bound,Pekerja_3,M3,3
Varian 5x5,Structured,Branch and Bound,Pekerja_4,M4,4
Varian 5x5,Structured,Branch and Bound,Pekerja_5,M5,5
Varian 5x5,Skewed,Greedy,Pekerja_1,M1,10
Varian 5x5,Skewed,Greedy,Pekerja_3,M3,78
Varian 5x5,Skewed,Greedy,Pekerja_2,M5,85
Varian 5x5,Skewed,Greedy,Pekerja_4,M2,85
Varian 5x5,Skewed,Greedy,Pekerja_5,M4,91
Varian 5x5,Skewed,Branch and Bound,Pekerja_1,M1,10
Varian 5x5,Skewed,Branch and Bound,Pekerja_2,M5,85
Varian 5x5,Skewed,Branch and Bound,Pekerja_3,M3,78
Varian 5x5,Skewed,Branch and Bound,Pekerja_4,M4,87
Varian 5x5,Skewed,Branch and Bound,Pekerja_5,M2,86
Varian 7x7,Random,Greedy,Pekerja_5,M7,10
Varian 7x7,Random,Greedy,Pekerja_6,M4,10
Varian 7x7,Random,Greedy,Pekerja_4,M6,11
Varian 7x7,Random,Greedy,Pekerja_1,M1,12
Varian 7x7,Random,Greedy,Pekerja_2,M2,22
Varian 7x7,Random,Greedy,Pekerja_3,M3,33
Varian 7x7,Random,Greedy,Pekerja_7,M5,50
Varian 7x7,Random,Branch and Bound,Pekerja_1,M1,12
Varian 7x7,Random,Branch and Bound,Pekerja_2,M2,22
Varian 7x7,Random,Branch and Bound,Pekerja_3,M3,33
Varian 7x7,Random,Branch and Bound,Pekerja_4,M6,11
Varian 7x7,Random,Branch and Bound,Pekerja_5,M7,10
Varian 7x7,Random,Branch and Bound,Pekerja_6,M4,10
Varian 7x7,Random,Branch and Bound,Pekerja_7,M5,50
Varian 7x7,Sructured,Greedy,Pekerja_1,M1,1
Varian 7x7,Sructured,Greedy,Pekerja_2,M2,2
Varian 7x7,Sructured,Greedy,Pekerja_3,M3,3
Varian 7x7,Sructured,Greedy,Pekerja_4,M4,4
